Stud		Q1	Q2	Q3	Q4	Q5
1234		32	20	2	84	30	
1235		99	43	82	11	84	
1236		0	83	84	44	82	
1237		45	94	99	62	97	
1238		41	97	2	72	15	
1239		95	37	93	72	58	
1240		37	33	86	50	93	
1241		10	69	87	34	44	
1242		95	7	14	87	62	
1243		60	89	17	69	40	
1244		30	63	32	78	58	
1245		52	66	5	83	11	
1246		0	18	82	65	87	
1247		42	96	29	17	80	
1248		97	82	4	89	54	
1249		20	90	78	52	4	
1250		80	71	21	21	97	
1251		11	12	49	45	58	
1252		69	93	1	57	2	
1253		58	17	47	29	31	
1254		34	38	28	10	91	
1255		98	20	25	2	4	
1256		100	96	58	7	84	
1257		51	30	66	47	86	
1258		75	31	10	92	24	
1259		89	48	54	44	48	
1260		11	29	31	62	10	
1261		69	19	92	15	8	
1262		30	20	43	10	47	
1263		21	39	53	97	67	
1264		95	36	96	42	6	
1265		50	71	19	46	46	
1266		35	21	39	49	50	
1267		2	57	84	53	25	
1268		5	29	100	75	23	
1269		72	53	47	88	92	
1270		15	59	75	54	76	
1271		64	69	29	37	44	
1272		85	73	74	37	19	
1273		56	72	58	78	22	
1274		42	16	77	82	63	
